,date,costofrevenue,epsbasic,epsdiluted,grossprofit,netincome,operatingincome,other,researchanddevelopment,sga,sharesoutstandingbasic,sharesoutstandingdiluted,taxexpensecredit,totalrevenue,ticker,interestexpense,interestincome,nonrecurringitems,depreciationamortization,minorityinterest,incometaxexpense
12,2023-03-31,-13443000000.0,130.0,130.0,,237000000000000.0,2758000000000000.0,-1689000000.0,2292000000000000.0,3039000000000000.0,1770000000000000.0,1776000000000000.0,241000000000000.0,1.2225e+16,ABBV,-454000000.0,,,,,
13,2022-09-30,-15231000000.0,2220.0,2210.0,,3946000000000000.0,4603000000000000.0,563000000.0,1614000000000000.0,3304000000000000.0,1771000000000000.0,1776000000000000.0,3952000000000000.0,1.4812e+16,ABBV,-497000000.0,,,,,
14,2024-09-30,,,,,1368000000000000.0,1525000000.0,52000004.30000019,,849000000.0,631000000.0,642000000.0,-367000000.0,465000000.0,ABNB,0.0,207000000.0,3000000.0,,,
15,2024-06-30,,,,,555000000000000.0,497000000.0,-1092999998.27,,888000000.0,635000000.0,649000000.0,-126000000.0,506000000.0,ABNB,0.0,226000000.0,0.0,,,
16,2024-03-31,,,,,1556000000820000.0,0.0,-1182000000.0,,801000000.0,0.0,0.0,-29000000.0,480000000.0,ABNB,0.0,202000000.0,0.0,,,
17,2023-09-30,,,,,5674000013460000.0,1496000000.0,197000000.0,,707000000.0,0.0,0.0,2695000000.0,459000000.0,ABNB,-6000000.0,192000000.0,-3000000.0,,,
18,2023-06-30,,,,,1950000002000000.0,523000000.0,-834000000.0,,761000000.0,0.0,0.0,-26000000.0,432000000.0,ABNB,-2000000.0,191000000.0,-36000000.0,,,
19,2023-03-31,,,,,1421000000360000.2,0.0,-1285000000.0,,693000000.0,0.0,0.0,-13000000.0,428000000.0,ABNB,-4000000.0,146000000.0,0.0,,,
20,2022-09-30,,,,,2533043003690000.0,1203481000.0,-44848000.0,,623600000.0,0.0,0.0,-55611000.0,401149000.0,ABNB,-5682000.0,58457000.0,13695000.0,,,
21,2024-09-30,-4078000000.0,940.0,940.0,,1646000000000000.0,1859000000000000.0,5371099000000000.0,713000000.0,2895000000000000.0,,,,1.0635e+16,ABT,-142000000.0,,,-470000000.0,,
22,2024-06-30,-4105000000.0,740.0,740.0,,1302000000000000.0,1669000000000000.0,4891161000000000.0,698000000.0,2936000000000000.0,,,,1.0377e+16,ABT,-140000000.0,,,-471000000.0,,
23,2024-03-31,-4115000000.0,700.0,700.0,,1225000000000000.0,1386000000000000.0,4922196000000000.0,684000000.0,2959000000000000.0,,,,9964000000000000.0,ABT,-141000000.0,,,-472000000.0,,
24,2023-09-30,-3891000000.0,820.0,820.0,,1436000000000000.0,1647000000000000.0,5129912000000000.0,672000000.0,2723000000000000.0,,,,1.0143e+16,ABT,-166000000.0,,,-496000000.0,,
25,2023-06-30,-3953000000.0,790.0,780.0,,1375000000000000.0,1542000000000000.0,5133970000000000.0,715000000.0,2740000000000000.0,,,,9978000000000000.0,ABT,-159000000.0,,,-498000000.0,,
26,2023-03-31,-3907000000.0,750.0,750.0,,1318000000000000.0,1509000000000000.0,5034762000000000.0,654000000.0,2762000000000000.0,,,,9747000000000000.0,ABT,-153000000.0,,,-491000000.0,,
27,2022-09-30,-4011000000.0,820.0,810.0,,1435000000000000.0,1770000000000000.0,5096751000000000.0,782000000.0,2731000000000000.0,,,,1.041e+16,ABT,-141000000.0,,,-498000000.0,,
28,2025-02-28,-14414587000.0,,,,1788075000000000.0,2244714000000000.0,1.397308700715e+16,,2730274000000000.0,626824946.0,634211978.0,-466333000.0,1.6659301e+16,ACN,-64669000.0,76113000.0,32616000.0,,,
