,date,accountspayable,accountsreceivable,accumulatedothercomprehensiveincome,cashandcashequivalents,commonstock,inventory,other,othercurrentassets,othercurrentliabilities,propertyplantequipmentnet,retainedearnings,shortterminvestments,totalassets,totalcurrentassets,totalcurrentliabilities,totalequity,totalliabilities,totalliabilitiesandequity,ticker,additionalpaidincapital,deferredincometaxes,goodwill,intangibleassetsnet,longtermdebt,noncontrollinginterest,othernoncurrentassets,prepaidexpenses,shorttermdebt,accruedexpenses,deferredtaxassetsnoncurrent,preferredstock,treasurystock,othernoncurrentliabilities,longterminvestments
52,2023-09-30,67400000.0,3103400000000000.0,-2467800000.0,1441400000000000.0,63900000.0,,6908400000000000.0,1180700000.0,,660400000.0,2.24554e+16,,4.93236e+16,4.04801e+16,4.12287e+16,3472800000000000.0,4.70781e+16,4.93236e+16,ADP,,67700000.0,2352500000000000.0,1331800000000000.0,2989800000000000.0,,1352000000.0,,0.0,2292000000000000.0,,0.0,-18767400000.0,,
53,2023-03-31,74800000.0,3081000000000000.0,-2127800000.0,1828400000000000.0,63900000.0,,6770800000000000.0,769300000.0,,663500000.0,2.18578e+16,,5.98818e+16,5.15182e+16,5.15361e+16,3693800000000000.0,5.74388e+16,5.98818e+16,ADP,,67700000.0,2335700000000000.0,1360300000000000.0,2988600000000000.0,,959900000.0,,0.0,2188600000000000.0,,0.0,-18162000000.0,,
54,2022-12-31,85300000.0,3170000000000000.0,-2450900000.0,1345000000000000.0,63900000.0,,6377800000000000.0,875800000.0,,655100000.0,2.1333e+16,,5.4453e+16,4.61436e+16,4.68137e+16,2986700000000000.0,5.2732e+16,5.4453e+16,ADP,,66800000.0,2315000000000000.0,1365600000000000.0,2988100000000000.0,,990900000.0,,0.0,2373300000000000.0,,0.0,-17913500000.0,,
55,2024-10-31,217000000.0,702000000.0,-260000000.0,1437000000000000.0,4100000000000000.0,,-260000000.0,,,,,276000000.0,1.0317e+16,2899000000000000.0,4468000000000000.0,2616000000000000.0,60000000.0,1.0133e+16,ADSK,,1150000000000000.0,4256000000000000.0,594000000.0,2932000000000000.0,,670000000.0,484000000.0,300000000.0,147000000.0,,,,,
56,2024-07-31,174000000.0,402000000.0,-249000000.0,1513000000000000.0,4009000000000000.0,,-297000000.0,,,,,365000000.0,1.0165e+16,2758000000000000.0,4337000000000000.0,2474000000000000.0,67000000.0,9960000000000000.0,ADSK,,1129000000000000.0,4253000000000000.0,609000000.0,2916000000000000.0,,659000000.0,478000000.0,300000000.0,159000000.0,,,,,
57,2024-04-30,163000000.0,353000000.0,-263000000.0,1681000000000000.0,3894000000000000.0,,-368000000.0,,,,,308000000.0,1.0044e+16,2810000000000000.0,4097000000000000.0,2161000000000000.0,66000000.0,9830000000000000.0,ADSK,,1126000000000000.0,4133000000000000.0,572000000.0,3210000000000000.0,,620000000.0,468000000.0,0.0,121000000.0,,,,,
58,2023-10-31,127000000.0,579000000.0,-257000000.0,1526000000000000.0,3678000000000000.0,,-466000000.0,,,,,428000000.0,9463000000000000.0,2939000000000000.0,3912000000000000.0,1482000000000000.0,71000000.0,9226000000000000.0,ADSK,,1122000000000000.0,3604000000000000.0,411000000.0,3148000000000000.0,,566000000.0,406000000.0,0.0,152000000.0,,,,,
59,2023-07-31,124000000.0,402000000.0,-198000000.0,1714000000000000.0,3531000000000000.0,,-494000000.0,,,,,359000000.0,9355000000000000.0,2821000000000000.0,3875000000000000.0,1206000000000000.0,72000000.0,9107000000000000.0,ADSK,,1078000000000000.0,3637000000000000.0,410000000.0,3143000000000000.0,,558000000.0,346000000.0,0.0,153000000.0,,,,,
60,2023-04-30,127000000.0,331000000.0,-200000000.0,1909000000000000.0,3368000000000000.0,,-449000000.0,,,,,222000000.0,9336000000000000.0,2833000000000000.0,3926000000000000.0,897000000000000.0,74000000.0,9069000000000000.0,ADSK,,1042000000000000.0,3624000000000000.0,426000000.0,3137000000000000.0,,552000000.0,371000000.0,0.0,148000000.0,,,,,
61,2022-10-31,134000000.0,642000000.0,-207000000.0,1665000000000000.0,3213000000000000.0,,-566000000.0,,,,,139000000.0,8906000000000000.0,2788000000000000.0,3811000000000000.0,906000000000000.0,82000000.0,8635000000000000.0,ADSK,,836000000000000.0,3577000000000000.0,423000000.0,2903000000000000.0,,554000000.0,342000000.0,350000000.0,181000000.0,,,,,
62,2024-06-30,2331500000000000.0,3928400000000000.0,-40000000.0,247900000.0,4612044268500000.0,,1.695137e+17,411300000.0,1398100000000000.0,1.042519e+17,1.32113e+16,,1.067725e+17,2.41311e+16,6.38734e+16,5.23109e+16,1.07976e+17,,AEP,1.25765e+16,9786400000000000.0,52500000.0,,4.23237e+16,40500000.0,,,2463400000000000.0,,,,1184572.0,,
63,2024-03-31,1990900000000000.0,3622100000000000.0,-62300000.0,281800000.0,4574998827500000.0,,1.669396e+17,372800000.0,1068900000000000.0,1.028328e+17,1.3338e+16,,1.041585e+17,2.36213e+16,6.15041e+16,5.1647e+16,1.060184e+17,,AEP,1.21627e+16,9662100000000000.0,52500000.0,,4.01154e+16,40400000.0,,,6575200000000000.0,,,,1184572.0,,
64,2023-09-30,2258600000000000.0,4841000000000000.0,-40500000.0,407100000.0,4564619513500000.0,,1.617006e+17,322900000.0,0.0,9.99985e+16,1.29295e+16,,1.012703e+17,2.23982e+16,5.90201e+16,5.06593e+16,1.043732e+17,,AEP,1.2038e+16,9267200000000000.0,52500000.0,,3.97675e+16,39900000.0,,,4560800000000000.0,,,,1184572.0,,
65,2023-06-30,2433900000000000.0,4603300000000000.0,-36400000.0,350700000.0,4561386602500000.0,,1.594557e+17,309900000.0,0.0,9.84158e+16,1.24055e+16,,1.036324e+17,2.49308e+16,5.91149e+16,4.8025e+16,1.054403e+17,,AEP,1.11495e+16,9157700000000000.0,52500000.0,,4.04176e+16,222200000.0,,,6985200000000000.0,,,,11233240.0,,
