,cik_str,ticker
1300,1521036,LNTH
1301,103379,VFC
1302,889331,LFUS
1303,1907982,QBTS
1304,1463101,ENPH
1305,851205,CGNX
1306,1653653,RRR
1307,1360604,HR
1308,1579428,AXSM
1309,1396440,MAIN
1310,1659939,ENIC
1311,1569650,OZK
1312,2011286,AMTM
1313,37808,FNB
1314,1647088,WSC
1315,887343,COLB
1316,1048268,IESC
1317,36029,FFIN
1318,1363829,ESGR
1319,1745916,PFSI
1320,916540,DAR
1321,1004434,AMG
1322,1107843,QLYS
1323,1618563,NSA
1324,1526125,GDS
1325,78150,PHI
1326,1520262,ALKS
1327,714310,VLY
1328,1849635,DJT
1329,2018852,SHTPY
1330,1610250,BOOT
1331,37785,FMC
1332,1800667,FROG
1333,1286043,KRG
1334,98362,TKR
1335,935036,ACIW
1336,910073,FLG
1337,866291,ALGM
1338,355811,GNTX
1339,842162,LEA
1340,853816,LSTR
1341,1476204,PECO
1342,1581760,LIF
1343,1012100,SEE
1344,931427,TGS
1345,730464,ATGE
1346,1455863,COLD
1347,1627272,OR
1348,67347,MOD
1349,1451809,SITM
1350,1723089,CHX
1351,750577,HWC
1352,1820144,GRND
1353,1852244,GXO
1354,1368514,ADMA
1355,1822966,SMR
1356,315213,RHI
1357,1576280,GH
1358,866706,ESE
1359,868671,GBCI
1360,1788348,BIPC
1361,1841156,PAY
1362,25232,CUZ
1363,928876,TSEM
1364,1309108,WEX
1365,1897762,INGM
1366,1786431,REYN
1367,1029199,EEFT
1368,1378239,OMAB
1369,1592438,ROYMY
1370,704532,ONTO
1371,1047127,AMKR
1372,1003078,MSM
1373,776867,WTM
1374,1985406,NEXHY
